article_id,source,pmid,pmcid,doi,title,authors,journal,year,abstract,url,openalex_id,openalex_pdf_url,pathogen,query,harvested_at,downloaded,downloaded_path,download_attempted_at,download_source,download_error
PMID_42554324,PubMed,42554324,,10.18071/isz.79.0284,Globoid cell leukodystrophy (Krabbe disease).,"Sinkó, Gabriella; Dénes, Eszter; Farkas, Gábor; Tompa, Márton; Kálmán, Bernadette",Ideggyogyaszati szemle,2026,"Background - Globoid cell leukodystrophy or Krabbe disease is a rare condition caused by biallelic pathogenic variants in the GALC gene. Accumulation of the metabolic intermedier galactosyl ceramide and psychosine leads to the death of myelin-producing cells. Demyelination results in large amounts of myelin debries that exceed the clearence capacity of microglial cells and macrophages and cause their transformation into globoid cells.Case presentation - We present the case of a currently 17 months old girl whose motor and cognitive development was noted to be delayed at 4 month of age. She had episodes of febrile enteritis followed by focal seizures and spasms with increasing frequency. Her neurological exam was significant for irritability, lack of eye contact, lethargy, increased limb tone, axial hypotonia, few spontaneous movements, sluggish deep reflexes, frequent myoclonus, and automatisms (chewing motions). The seizures were difficult to control. Her cranial MRI revealed confluent white matter abnormalities in the hemispheral white matter, cerebellum and brainstem suggesting an underlying metabolic abnormality. Whole exome sequencing identified two likely pathogenic variants in trans within the GALC gene, establishing the diagnosis of globoid cell leukodystrophy. At the time of diagnosis, hematopoietic stem cell transplantation (HSCT) was not recommended due to the advanced disease. Antiseizure medications and supportive therapy have been the means of controlling her symptoms.Conclusion - Infantile Krabbe disease is a severe progressive disorder leading to death in 2-3 years. The only currently approved disease modifying therapy is HSCT that is effective only in early stages and is not without risks itself. There are numerous preclinical and clinical studies involving various forms of corrective gene therapy that may halt or reverse the course of this dismal condition.",https://pubmed.ncbi.nlm.nih.gov/42554324/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42554308,PubMed,42554308,,10.1080/09593985.2026.2713001,"The effect of online physical activity monitoring on physical activity level, psychological health, fatigue, and quality of life in patients with multiple sclerosis: a randomized controlled trial.","Candiri, Busra; Demirtas Karaoba, Dilan; Talu, Burcu; Tecellioglu, Mehmet",Physiotherapy theory and practice,2026,"BACKGROUND: It is known that individuals with multiple sclerosis (MS) have lower levels of physical activity compared to the healthy population. Encouraging and continuous monitoring ofphysical activity through digital reminders can be beneficial in increasing physical activity levels.
OBJECTIVE: The aim of this study was to investigate the effects of continuous monitoring of walking-based physical activity, supported by reminders using a messaging application, on physical activity level, psychological health, and quality of life.
METHODS: Forty-two individuals with MS were randomly assigned to either experimental (EG = 22) or control (CG = 20) groups. The EG group was informed three times a week about the benefits of daily physical activity, then reminded to walk, and their daily step counts were recorded.The CG received a general briefing at baseline and then only recorded daily step counts. The outcomes were change in step count after 8 weeks of follow-up and International Physical Activity Questionnaire-Short Form (IPAQ), Beck Depression Inventory II (BDI), Beck Anxiety Inventory (BAI), and International Multiple Sclerosis Quality of Life Study (MSQoL-54).
RESULTS: A significant difference was found between the IPAQ-Walking and IPAQ-Total groups (p = .042 and p = .010, respectively). In EG, IPAQ-Walking showed a significant increase with a large effect (p = .001, Cohen d = 0.843), while there was no difference in CG (p = .108). No significant difference was observed in BDI and BAI after the intervention (p > .05). In MSQoL-54, no significant difference was observed between groups in all subscales (p > .05). In EG, a significant change with moderate to large effect sizes was recorded in all subgroups (p < .05, Cohen d = 0.661-1.483). A significant group ×time interaction was shown for step counts (F = 192.63, p = .018).
CONCLUSION: While improvements in psychological health and quality of life indicators did not differ significantly between groups, findings suggest that digital reminder-based apps arefeasible, accessible, and cost-effective option for supporting physical activity in MS.",https://pubmed.ncbi.nlm.nih.gov/42554308/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42553837,PubMed,42553837,PMC11940579,10.1159/000553157,Autoimmune-Like Hepatitis Triggered by Methylprednisolone: A Case Report about the Paradox of Treating DILI with the Offending Drug.,"Simas, Diogo; Gonçalves, André Ruge; Gomes, Plácido; Russo, Pedro; Cotrim, Isabel; Vasconcelos, Helena",GE Portuguese journal of gastroenterology,2026,"INTRODUCTION: Acute liver failure with an autoimmune phenotype can result from various causes, including autoimmune hepatitis (AIH) or drug-induced liver injury (DILI) with autoimmune features. Rarely, corticosteroids themselves may trigger autoimmune-like liver injury, further complicating the differentiation between AIH and DILI.
CASE PRESENTATION: We report a 57-year-old woman with multiple sclerosis who received high-dose intravenous methylprednisolone (1 g/day for 5 days) 6 weeks prior to presentation. She was admitted with severe fatigue, jaundice, asterixis, and laboratory findings consistent with acute liver failure (total bilirubin 12.6 mg/dL, direct bilirubin 5.88 mg/dL, INR 1.95, and elevated ammonia). Abdominal and brain computed tomography were unremarkable. IgG levels were 2,506 mg/dL (upper limit 1,600), with positive antinuclear antibodies (titer 1:320) and negative anti-smooth muscle and anti-mitochondrial antibodies. Extensive workup excluded viral hepatitis, metabolic disorders, and other common causes of liver injury. Transjugular liver biopsy demonstrated moderate periportal and severe lobular hepatitis with plasmacytic infiltration and centrilobular necrosis, without significant fibrosis, consistent with an autoimmune-like pattern. The patient received prednisolone (1 mg/kg/day) with rapid biochemical improvement. Azathioprine was introduced during hospitalization but later discontinued by the patient. Long-term follow-up showed normalization of liver tests and IgG levels without relapse, supporting a diagnosis of drug-induced autoimmune-like hepatitis (DI-ALH).
DISCUSSION: The temporal association with methylprednisolone, exclusion of alternative etiologies, and the absence of relapse after discontinuation of immunosuppressive therapy suggest corticosteroid-DI-ALH rather than primary AIH. This paradoxical presentation is rare, as corticosteroids are generally used therapeutically in AIH or in severe DI-ALH rather than as a causative agent, highlighting the need for awareness of atypical drug-induced hepatotoxicity. This case underscores the diagnostic challenges in distinguishing DI-ALH from AIH, particularly when corticosteroids are implicated, and emphasizes the importance of long-term follow-up to confirm resolution and guide management.",https://pubmed.ncbi.nlm.nih.gov/42553837/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42553257,PubMed,42553257,PMC10443237,10.3390/antib12030050,Association of therapeutic plasma exchange with functional outcomes in selected neurological disorders: a retrospective cohort study from a single tertiary center in Saudi Arabia.,"Ammar, Fatemah I; Aljahdali, Esraa; Alshrif, Amal; Alshareef, Asmaa; Faidah, Dania; Almohammadi, Mohammed; Makkawi, Seraj",Frontiers in neurology,2026,"BACKGROUND: Neurological disorders are associated with considerable morbidity and healthcare impact. Therapeutic plasma exchange (TPE) is an intervention that removes pathogenic antibodies, immune complexes, and other plasma constituents from circulation. Previous studies have suggested that TPE could be associated with improved outcomes in selected neurological disorders.
OBJECTIVES: To evaluate functional outcomes following therapeutic plasma exchange in patients with selected neurological disorders at National Guard Health Affairs (NGHA) in Jeddah, Saudi Arabia.
METHODS: This retrospective cohort study analyzes 133 patients diagnosed with various neurological disorders who received TPE between August 2015 and December 2022 at NGHA. Diagnoses included multiple sclerosis (MS), myasthenia gravis (MG), Guillain-Barré syndrome (GBS), neuromyelitis optica spectrum disorder (NMOSD), chronic inflammatory demyelinating polyneuropathy (CIDP), autoimmune encephalitis (AE), and other neurological conditions including amyotrophic lateral sclerosis (ALS), transverse myelitis, cerebellar ataxia, paraneoplastic neurologic syndrome, polymyositis, and central nervous system (CNS) infections. The effectiveness of TPE was assessed using the Modified Rankin Scale (mRS) before and 90 days following the final TPE session. Statistical analysis included Wilcoxon signed-rank tests and Mann-Whitney U test, with significance set at (p < 0.05).
RESULTS: Significant improvements in mRS scores were observed following TPE for MS, MG, and GBS (all p < 0.001), as well as for NMOSD (p = 0.008), CIDP (p = 0.007), and AE (p = 0.018), but not in other neurological disorders (p = 0.234). Overall mortality was 6.8%, with no TPE-related deaths. Comorbidities among deceased patients included hypertension, diabetes mellitus, malignancy, chronic kidney disease, and cardiovascular disease.
CONCLUSION: TPE was associated with improved functional outcomes in selected neurological disorders. Comorbidities were common among patients with poorer outcomes. Due to the retrospective design and potential confounding factors, causal inferences cannot be established. Further prospective studies are warranted to evaluate the role of TPE and optimize patient selection.",https://pubmed.ncbi.nlm.nih.gov/42553257/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42553000,PubMed,42553000,,10.1080/09638288.2026.2711882,Measurements and management of multiple sclerosis-related fatigue: an umbrella review and meta-analysis.,"Hawas, Yousef; Abdelmageed, Ahmed; Abouzid, Mohamed; Hamad, Abdallah Ashraf; El-Moslemani, Mohamed; Saeed, Habiba Tariq; Salama, Esraa Y; Azzawi, Mohammad Al Diab Al; Ewis, Dalia Kamal; Arafa, Abdelfattah; Alnajjar, Asmaa Zakria; Abo Elnaga, Ahmed A; Khalil, Mohamed Moustafa; Rodrigues, Amanda Cyntia Lima Fonseca",Disability and rehabilitation,2026,"PURPOSE: This study aims to synthesize and appraise systematic reviews with meta-analyses that assessed pharmacological, non-pharmacological, and neuromodulatory interventions for MS-related fatigue.
MATERIAL AND METHODS: PubMed, WOS, Scopus, Epistemonikos, and the Cochrane Database of Systematic Reviews were searched till Nov 2025. Effect sizes are reported as standardized mean differences (SMDs) with 95% confidence intervals (CIs). Methodological quality was graded with AMSTAR-2. An exploratory meta-meta-analysis was also performed.
RESULTS: Forty-six systematic reviews with meta-analyses covering 287 primary studies were included. Exercise provided the most consistent benefit: aerobic training produced a modest but reliable reduction in fatigue (SMD -0.32), while resistance exercise (-1.09) and yoga/mind-body formats (-0.70) showed larger but more heterogeneous effects. Cognitive behavioral therapy (CBT) and mindfulness/acceptance therapies yielded small to moderate improvements, while energy-conservation education showed a modest benefit. Vitamin D supplementation yielded a small effect (-0.18). Among neuromodulation approaches, transcranial direct current stimulation demonstrated a significant short-term impact (-1.02).
CONCLUSION: Structured exercise supported by CBT or mindfulness offers the most clinically meaningful relief from MS-related fatigue. Future RCTs should adopt longer follow-up, and use standardized outcome fatigue scales. These conclusions should be interpreted considering the generally low methodological quality of the included reviews.",https://pubmed.ncbi.nlm.nih.gov/42553000/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42552421,PubMed,42552421,PMC12350173,10.1016/j.jalz.2015.07.198,p75 neurotrophin receptor signaling through the RhoA/ROCK pathway contributes to Tau-mediated neurodegeneration.,"Liao, Kang; Xie, Meng; Ibáñez, Carlos F",Molecular psychiatry,2026,"Therapeutic development in Alzheimer's Disease (AD) has for the most part been focused on reducing β-amyloid load. Nevertheless, neurofibrillary tangles (NFTs), produced by aggregation of hyper-phosphorylated Tau protein, correlate with neurodegeneration and cognitive impairment significantly better than amyloid accumulation in AD patients. Here we report that P301S mice, a model of Tau-mediated neurodegeneration, carrying mutant variants of the p75 neurotrophin receptor (p75NTR) deficient in RhoA/ROCK signaling are protected from neurodegeneration and cognitive impairment. Both p75∆DD, lacking the death domain, and triple mutant p75KKEA, unable to interact with RhoGDI, decreased insoluble Tau species, reduced gliosis, neurodegeneration and synapse loss, and improved spatial learning and memory in P301S mice. Intriguingly, p75C259A, a variant unresponsive to neurotrophins but still competent for RhoA signaling induced by myelin-derived ligands, did not afford any neuroprotection. P301S neurons expressing p75∆DD or p75KKEA, but not p75C259A, showed reduced phospho-Tau and ROCK and GSK3β activity, the two main kinases responsible for Tau phosphorylation. In line with this, treatment with myelin-associated glycoprotein (MAG) enhanced Tau phosphorylation and ROCK activity in P301S neurons expressing wild type p75NTR or p75C259A, but not p75∆DD or p75KKEA. Together, these results indicate that p75NTR contributes to AD Tauopathy by enhancing the activity of the RhoA-ROCK pathway.",https://pubmed.ncbi.nlm.nih.gov/42552421/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42552266,PubMed,42552266,PMC12153946,10.1212/nxi.0000000000200415,French expert opinion on the long-term management of relapsing multiple sclerosis with cladribine tablets beyond year 4.,"Ricigliano, Vito A G; Ciron, Jonathan; Bourre, Bertrand; Guennoc, Anne Marie; Castelnovo, G; Deschamps, J; Payet, Marianne; Clavelou, Pierre; Vermersch, Patrick; de Seze, Jérôme; Ayrignac, Xavier",Journal of neurology,2026,"Cladribine tablets (CladT) is a high-efficacy treatment (HET) for the management of relapsing multiple sclerosis (RMS) that acts as an immune reconstitution therapy (IRT). Administered as two short annual courses, CladT has been shown to provide durable disease control in responders for up to 11 years, extending well beyond the short treatment periods. Randomised trials do not offer evidence-based guidance on the therapeutic use of CladT beyond four years post-initiation, leading to variability in long-term management strategies in real-world practice, notably with respect to the possibility of additional treatment. We propose a pragmatic algorithm for long-term treatment with CladT, grounded in currently available data and our French collective clinical experience, intended to assist neurologists in therapeutic decision-making in year 5 and beyond. We suggest a practical classification of patients into two main profiles after the initial 4-year period: those who remain clinically and radiologically stable, and those who exhibit evidence of disease reactivation. A stable profile, which encompasses a large proportion of treated patients, may be managed through continued monitoring or additional treatment, depending on individual presentations and the presence or absence of factors associated with higher likelihood of RMS reactivation before CladT initiation. For patients demonstrating signs of disease activity, options include additional treatment with CladT or transitioning to another HET, according to the severity of inflammatory reactivation.",https://pubmed.ncbi.nlm.nih.gov/42552266/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42551285,PubMed,42551285,,10.1016/j.msard.2026.107413,Perspectives of participating neurologists and study nurses - Mixed-methods process evaluation of a web-based program for relapse management in multiple sclerosis (POWER@M2).,"Bremer, Lea; Hickstein, Julia; Wenzel, Lisa; Scheiderbauer, Jutta; de Loo, Markus Van; Rahn, Anne Christin; Heesen, Christoph; Köpke, Sascha",Multiple sclerosis and related disorders,2026,"BACKGROUND: Relapsing-remitting multiple sclerosis is a chronic inflammatory disease of the central nervous system and the leading cause of disability in young adults. In Germany, 90% of relapses are treated with high-dose intravenous glucocorticoids, despite limited evidence for long-term benefit and international preference for oral administration. Time constraints often hinder informed decision-making. The multicentre Randomized Controlled Trial (RCT) POWER@MS2 (N = 160, 2020-2023), conducted at 18 German MS-centres, aimed to promote self-determined relapse management through a complex intervention (dialogue-based decision aid, nurse-led webinar, online-chat).
OBJECTIVE: While RCTs demonstrate effectiveness, process evaluations are essential to understand implementation, mechanisms of impact and contextual factors. This study explored healthcare professionals' experiences and attitudes toward implementing relapse self-management and self-medication in clinical practice.
METHODS: A mixed-methods process evaluation followed the UK Medical Research Council- framework. Quantitative data were collected via validated questionnaires at up to three time points and analysed descriptively. Interview guides were developed based on these results. Qualitative data from neurologist and study nurse interviews were thematically analysed. Results were triangulated using a joint display.
RESULTS: Data were collected from 55 neurologists and 17 study nurses (quantitative) and from 7 neurologists and 4 nurses (qualitative) (2020-2024). Most neurologists opposed routine steroid use, reserving it for severe relapses. Some voiced concerns about self-management, but informed patients were generally viewed as capable of safe self-medication. Study nurses gave mixed feedback on the intervention, citing overload and improved guidance.
CONCLUSION: Clinicians showed openness toward implementing the intervention. Enhancing accessibility and addressing specific concerns may support broader adoption.",https://pubmed.ncbi.nlm.nih.gov/42551285/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42550891,PubMed,42550891,,10.1126/scisignal.aea4402,Adenosine 2A receptor drives microglial efferocytosis to accelerate white matter repair and functional recovery after stroke.,"Deng, Yan; He, Qian; Yao, Bolin; Chen, Xiang; Cheng, Guangli; Xu, Minhua; Hu, Jiachun; Graca, Luis; Zhu, Xiao; Zhang, Xiao-Yong; You, Yan; Li, Cong",Science signaling,2026,"Although reperfusion therapy effectively restores blood flow to occluded brain arteries after ischemic stroke, many patients develop persistent white matter injury, a major contributor to long-term neurological disability. Currently, there are few approved clinical therapies that specifically target white matter repair to enhance functional recovery after stroke. We demonstrated that microglial adenosine 2A receptor (A2AR) is essential for spontaneous white matter regeneration after ischemic injury in mice. Deletion of A2AR in microglia specifically impaired chronic-phase repair without altering the severity of acute ischemic injury. Pharmacological activation of A2AR signaling with blood-brain barrier-permeable agonistic micelles during the early reperfusion phase enhanced white matter structural repair and led to sustained improvements in cognitive and sensorimotor function in mice. Mechanistically, A2AR activation promoted microglial efferocytosis of apoptotic cells and myelin debris in the lesioned white matter, thereby limiting secondary necrosis-induced inflammation, enhancing neurotrophic factor release, and establishing a reparative microenvironment conducive to oligodendrocyte precursor cell differentiation and remyelination. Moreover, A2AR signaling engaged HIF1α-dependent metabolic reprogramming to increase glycolysis, thereby providing the energetic support required for efficient and sustained efferocytosis. Together, these findings identify A2AR as a critical regulator of microglia-mediated white matter repair and a promising therapeutic target for enhancing regeneration after stroke.",https://pubmed.ncbi.nlm.nih.gov/42550891/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
PMID_42550793,PubMed,42550793,,10.1159/000553331,Assessment of pain relief and sensory dysfunction outcomes after CyberKnife radiosurgery for trigeminal neuralgia using detailed radiobiologic dose modeling: Results from a retrospective study on large international patient cohort.,"Pantelis, Evaggelos; Moutsatsos, Argyris; Stergioula, Anastasia; Karaiskos, Pantelis; Park, David J; Kattaa, Ahed H; Chuang, Cynthia; Chang, Steven D; Bianchi, Livia Corinna; Redaelli, Irene; Martinotti, Anna Stefania; Beltramo, Giancarlo; Acker, Güliz; Sladek, Diana; Senger, Carolin; Pontoriero, Antonio; Trifiletti, Eleonora; Conti, Alfredo; Romanelli, Pantaleo",Stereotactic and functional neurosurgery,2026,"INTRODUCTION: To evaluate clinical outcomes and identify patient- and treatment-related predictors of pain relief onset, long-term pain control, and sensory dysfunction in patients with medically refractory trigeminal neuralgia (TN) treated with CyberKnife radiosurgery (CKRS), incorporating radiobiologic modeling of delivered doses.
METHODS: A retrospective study was performed across five international institutions, analyzing 560 TN patients treated with CKRS between 2009 and 2024. Demographic, clinical and dosimetric data were collected. Pain and sensory dysfunction outcomes were evaluated using the modified Barrow Neurological Institute Pain Intensity (mBNI-PIS) and Facial Numbness Scales (BNI-FNS), respectively. Logistic regression and Cox proportional hazards models were used to identify predictors of pain relief, latency, long-term pain control, and facial numbness risk. Biological effective dose (BED) distributions were calculated accounting for sublethal DNA damage repair and treatment delivery timelines; retreatments were excluded.
RESULTS: Pain relief (defined as BNI-PIS I-IIIa) was achieved in 92% of patients with a median latency of 12-weeks (range: 0 - 76 weeks). The median follow-up was 50 months (range: 6 - 175 months). Actuarial freedom-from-pain rates were 85%, 78%, 68% and 58% at 12-, 24-, 60- and 120-months, respectively. Bothersome and severely bothersome facial numbness occurred in 5% and 1% of patients, respectively, while an additional 21% experienced non-bothersome numbness. Multivariate analysis identified older age, higher target maximum dose and BED (>1607 Gy2.47) values, and shorter beam-on- and treatment-time as predictors of early pain relief (< 30-days), whereas neurovascular conflict (NVC) predicted delayed response. Older age and NVC were also associated with pain control maintenance. Multiple sclerosis predicted both reduced treatment response and increased pain recurrence risk. Maximum target dose of 77 Gy, and integral BED of 59 mJ2.47 (corresponding to a target volume of 47 mm3) were independently associated with a 10% hypoesthesia risk.
CONCLUSION: CKRS provides high pain relief onset (92%) and durable pain control (68% at 60-months) in TN patients, with low bothersome (5%) and severely bothersome (1%) facial numbness rates. The identified dosimetric thresholds offer practical guidance for optimizing treatment planning while balancing hypoesthesia risk.",https://pubmed.ncbi.nlm.nih.gov/42550793/,,,multiple_sclerosis,(Multiple Sclerosis[MeSH] OR multiple sclerosis[tiab] OR demyelination[tiab] OR myelin[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:36:12+00:00,,,,,
