article_id,source,pmid,pmcid,doi,title,authors,journal,year,abstract,url,openalex_id,openalex_pdf_url,pathogen,query,harvested_at,downloaded,downloaded_path,download_attempted_at,download_source,download_error
PMID_42554035,PubMed,42554035,,10.1002/smll.75081,Gastrointestinal In Situ Self-Assembled Gastrodia Elata Polysaccharide Hydrogel Enables Parkinson's Disease Therapy via Gut-Brain Axis Modulation.,"Lei, Tong; Yang, Xiaoyu; Fu, Gaoshuang; Li, Gaifeng; Wu, Yuanhua; Xue, Xin; Zhao, Yukun; Zhang, Shuai; Li, Tingyu; Yang, Hongjun","Small (Weinheim an der Bergstrasse, Germany)",2026,"Parkinson's disease (PD) is closely associated with abnormal α-synuclein propagation along the gut-brain axis and progressive dopaminergic neuronal loss. Traditional oral preparations suffer from weak gastrointestinal resistance, rapid degradation and poor gut-brain axis regulation. Here, we constructed a gastrodia elata polysaccharide-functionalized dual-network GEPH hydrogel via thiol-maleimide click crosslinking. GEPH possesses favorable biocompatibility, regular porous microstructure and tailored rheological properties suitable for gastrointestinal delivery, showing outstanding erosion resistance and structural stability in simulated intestinal fluid. It achieves in situ gelation in the gastrointestinal tract and maintains 24 h long-term retention after oral administration. GEPH modulates gut microbiota composition and metabolite profiles, repairs intestinal barrier and neuronal injury in PD mice such as Corynebacterium, CAG_95, and Akkermansia, while regulated metabolite abundance such as 3-methyl-4-cis-hydroxy-2-butenal, Nicotinic acid, Linolenate. By regulating the TLR4/NF-κB pathway and gut-brain axis, it inhibits abnormal aggregation and spread of intestinal and cerebral α-synuclein, alleviates neuroinflammation and neuronal apoptosis, protects dopaminergic neurons and ameliorates motor dysfunction. This study proposes GEPH as a new type of oral functionalized dual-network hydrogel formulation that regulates the gut-brain axis, promoting the clinical application of a new strategy for oral drug administration for gastrointestinal prevention and treatment of PD.",https://pubmed.ncbi.nlm.nih.gov/42554035/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42553791,PubMed,42553791,PMC6167921,10.7759/cureus.112096,Exploring the Link Between Obstructive Sleep Apnea and Neuropsychiatric Disorders: Role of Neuroinflammatory Mechanisms.,"Mehdi, Mohammad Raza; Al-Qassab, Zahraa Munaf Shakir; Sabuni, Omar; Rai, Mriganka; Patel, Tirath; Patel, Rishil; Iftikhar, Laraib",Cureus,2026,"Obstructive sleep apnea syndrome (OSAS) is a prevalent sleep-related breathing disorder characterized by recurrent episodes of upper airway obstruction during sleep, resulting in intermittent reductions or complete cessation of airflow. These interruptions reduce oxygen saturation and disrupt normal sleep architecture, frequently resulting in daytime fatigue and adverse health outcomes. Recent research has provided increasing evidence that OSAS may be associated with neuroinflammation, defined as inflammation within the brain and nervous system. Such neuroinflammation may contribute to the development of conditions including depression, anxiety, Alzheimer's disease, and Parkinson's disease. This narrative review examines the association between OSAS and neuroinflammation and outlines the potential biological mechanisms involved. Intermittent hypoxemia and recurrent sleep fragmentation are thought to promote oxidative stress, neuroinflammation, and neuronal injury, ultimately contributing to impaired memory, executive function, emotional regulation, and overall neurological function. Over time, these processes can impair memory, executive function, emotional regulation, and overall neurological function. The review also highlights key risk factors and clinical manifestations and emphasizes the importance of early diagnosis and intervention for OSAS. Evidence from both experimental animal studies and human clinical studies is discussed to highlight current understanding while distinguishing established findings from emerging hypotheses. In summary, this review indicates that neuroinflammation may represent an important mechanistic pathway linking OSAS with depression, anxiety, cognitive impairment, and neurodegenerative disorders. However, much of the available evidence remains associative, and further longitudinal and biomarker-driven studies are required to clarify causal relationships and determine the long-term impact of interventions such as continuous positive airway pressure (CPAP) therapy. Improved understanding of these mechanisms may facilitate earlier diagnosis, risk stratification, and the development of targeted therapeutic strategies for individuals with OSAS.",https://pubmed.ncbi.nlm.nih.gov/42553791/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42553297,PubMed,42553297,PMC10382535,10.1038/s41467-023-40280-3,Targeting mitochondria for the treatment of neurodegenerative diseases.,"Li, Qian; You, Ming",Frontiers in neuroscience,2026,"Mitochondria are central regulators of cellular metabolism, redox balance, calcium signaling, and cell survival, making them essential for neuronal function. Because neurons rely heavily on mitochondrial oxidative phosphorylation to meet their high energetic demands, mitochondrial dysfunction has emerged as a key pathogenic driver in major neurodegenerative diseases, including Alzheimer's disease, Parkinson's disease, Huntington's disease, and amyotrophic lateral sclerosis. Defects in mitochondrial bioenergetics, excessive reactive oxygen species production, impaired mitochondrial dynamics, disrupted mitophagy, and dysregulated calcium handling collectively contribute to neuronal damage, synaptic dysfunction, and neuroinflammation. These insights have prompted growing interest in therapeutic strategies that directly target mitochondria to restore organelle homeostasis. Recent advances in chemical biology and nanomedicine have enabled the development of mitochondria-targeted ligands, peptide-based targeting systems, and carrier or nanotechnology-enabled delivery platforms designed to overcome biological barriers and selectively deliver therapeutic cargos to mitochondria within the central nervous system. In this Review, we summarize mitochondrial pathological mechanisms in neurodegenerative diseases and discuss emerging mitochondria-targeted therapeutic strategies, highlighting delivery technologies, therapeutic modalities, and translational challenges. Although most strategies remain at the preclinical or proof-of-principle stage, these advances are beginning to shape a conceptual framework for precision mitochondrial medicine, with the longer-term goal of developing disease-modifying interventions for neurodegenerative disorders.",https://pubmed.ncbi.nlm.nih.gov/42553297/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42553260,PubMed,42553260,PMC5703859,10.1016/j.biopha.2020.111119,Curcumin attenuates α-synuclein pathology in Parkinson's disease model mice through modulation of UBC9-associated SUMOylation signaling.,"Li, Yao; Zhu, Zhuang; Zhang, Kezhong",Frontiers in neuroscience,2026,"BACKGROUND: Post-translational modifications, particularly SUMOylation, plays a crucial role in α-synuclein (α-syn) aggregation, a key pathological feature of Parkinson's disease (PD). Curcumin, a natural polyphenol, has shown neuroprotective potential, but its effects on SUMOylation-related signaling in PD remain unclear.
OBJECTIVE: This study aimed to investigate whether curcumin modulates α-syn SUMOylation and to elucidate the underlying molecular mechanisms in PD model mice.
METHODS: A PD model was established in male C57BL/6 mice via unilateral intrastriatal injection of α-syn preformed fibrils (PFFs). Six months after α-syn PFFs injection, mice were treated intravenously with curcumin (25 mg/kg/day) or vehicle for 1 month. Behavioral tests (open field, rotarod) assessed motor function. Neuropathology was evaluated by immunohistochemistry and western blotting for tyrosine hydroxylase (TH), phosphorylated α-syn (p-syn), SUMOylation pathway components (SUMO1, SAE2, UBC9, PIAS1/2), and ubiquitin. Striatal dopamine levels were measured by HPLC.
RESULTS: Curcumin treatment ameliorated motor deficits and anxiety-like behaviors in PD mice. It partially preserved dopaminergic neurons and reduced p-syn aggregation in the substantia nigra, accompanied by increased striatal dopamine levels. Mechanistically, curcumin was associated with reduced SUMO1 and increased ubiquitin levels, suggesting modulation of SUMOylation-related signaling. Among SUMOylation enzymes, UBC9 expression was decreased, whereas E1 (SAE2) and E3 (PIAS1/2) components were not substantially affected.
CONCLUSION: Our findings demonstrated that curcumin exerted neuroprotective effects in a PD model by attenuating α-syn pathology. The protective mechanism involves the inhibition of α-syn SUMOylation, primarily through the downregulation of the UBC9 enzyme. This study identifies UBC9-mediated SUMOylation as a potential target for curcumin and highlight a promising strategy for modifying α-syn-associated pathology in PD.",https://pubmed.ncbi.nlm.nih.gov/42553260/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42552767,PubMed,42552767,,10.1002/mdc3.70759,"Longitudinal Associations between Depression, Daytime Sleepiness, and Caregiver Strain in Parkinson's Disease.","Holden, Sarah; Lane, Sean P; Christopher, Madison; Mann, Lisa; Carter, Julie H; Quinn, Joseph; Xu, Jiayun",Movement disorders clinical practice,2026,"OBJECTIVE: Examine the longitudinal relationship between caregiver strain and Parkinson's patient depression, daytime sleepiness, and treatment with dopamine agonists and antidepressants.
BACKGROUND: Parkinson's disease (PD) is a neurodegenerative disorder, in which family caregivers play an integral role in patient care. Depression and daytime sleepiness in PD patients have been shown to influence caregiver strain.
METHODS: This study was a longitudinal analysis of PD patient sleep and depression measures, and a measure of caregiver strain. Strain scores were modeled as a function of: accumulated time between visits, PD patient depression and sleep scores, and their interactions with time.
RESULTS: Caregiver strain increased over time, with patient depression and daytime sleepiness positively associated with greater caregiver strain.
CONCLUSIONS: Patient depressive symptoms consistently predicted caregiver strain, highlighting the central role of patient depression in caregiver well-being. Routine caregiver evaluations during patient visits facilitate timely interventions that benefit patients and caregivers.",https://pubmed.ncbi.nlm.nih.gov/42552767/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42552610,PubMed,42552610,,10.1111/1460-6984.70308,Better Conversations With Parkinson's: Feasibility and Acceptability of a Novel Communication Partner Training Telehealth Intervention.,"Clay, Philippa; Beeke, Suzanne; Hogger, Lucie; Brix, Ida; Massé, Emma; Hunt, Hannah; Dangerfield, Lynn; Bloch, Steven",International journal of language & communication disorders,2026,"BACKGROUND: Communication Partner Training (CPT) has an established evidence base in aphasia, dementia and traumatic brain injury. It has been shown to improve the skills, attitudes and knowledge of the communication partner, and improve communicative participation and confidence of the person with communication difficulties. CPT therefore holds potential value for people living with Parkinson's and their everyday conversation partners who report significant impact of communication changes on their day-to-day lives. However, the CPT evidence base is less well established in this population. People living with Parkinson's and their communication partners report wanting support with everyday communication. They also describe online intervention as acceptable.
AIMS: The primary aim was to evaluate the feasibility and acceptability of a novel CPT intervention, Better Conversations with Parkinson's (BCP), when delivered via telehealth in an NHS setting. Feasibility was explored in terms of completion of BCP intervention and assessment data when delivered via telehealth, and the ability to recruit and retain participants in an NHS trial. Acceptability was investigated for: (1) dyads completing the therapy (people with a diagnosis of Parkinson's and their communication partners) and (2) the speech and language therapist (SLT) delivering it.
METHODS AND PROCEDURES: This feasibility study recruited dyads comprising a person living with Parkinson's and a familiar communication partner. Participants were involved for 6 weeks of direct BCP intervention, delivered remotely by one SLT, and completed pre- and post-intervention measures. Descriptive statistics were used to report on recruitment, attendance, and attrition. Feasibility was further explored using logs and a focus group with study recruiters. Acceptability was evaluated using participant interviews, analysed using reflexive thematic analysis, and the SLT's reflective diary and interview feedback, which were analysed using qualitative content analysis.
RESULTS AND OUTCOMES: Seven dyads were recruited to the study, with an overall recruitment rate of 10%. Participants completed all therapy sessions and data collection for all outcome measures was achieved. Qualitative themes reflected a high degree of acceptability from dyads concerning their own agency, the therapeutic alliance, methods used, and expectations/beliefs. The acceptability for the SLT delivering the therapy was also high.
CONCLUSIONS AND IMPLICATIONS: The results indicated the BCP programme was feasible in terms of online delivery within an NHS setting, and acceptable for clients and the SLT. These results pave the way for a large-scale study that will evaluate the effectiveness of a BCP programme.
WHAT THIS PAPER ADDS: What is already known on the subject Despite an identified need for treatments beyond the impairment level, communication partner training (CPT) for people living with Parkinson's lacks evidence for acceptability or feasibility. What this study adds to the existing knowledge This study suggests that CPT for people living with Parkinson's is feasible to deliver via telehealth and acceptable to people living with Parkinson's, their communication partners, and SLTs. What are the clinical implications of this work? UK NHS speech and language therapy services could feasibly run online CPT programmes for people living with Parkinson's. Further work is required to move toward a full-scale trial of CPT for people living with Parkinson's and to establish whether such programmes may be most effectively run alongside impairment-based approaches or independently.",https://pubmed.ncbi.nlm.nih.gov/42552610/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42552442,PubMed,42552442,PMC13248603,10.1126/scitranslmed.abp9352,"XunZi, an AI biologist, reveals disease-modifying targets.","Huang, Xinhe; Qin, Junhong; Tang, Fei; Yang, Chenyu; Xu, Linhua; Wei, Junfen; Liu, Dan; Chen, Kang; Zhang, Chi; Chen, Miaomiao; Gou, Yujie; Zhang, Jiayi; Ma, Yongze; Zhao, Lin; Tu, Yingfeng; Lei, Peng; Xue, Yu; Jia, Da",Nature biomedical engineering,2026,"Hypothesis generation in biomedicine is constrained by human cognitive limitations in synthesizing insights from fragmented biomedical knowledge and multimodal data sources. Here we introduce XunZi, an AI biologist that integrates logical reasoning and multimodal data fusion to autonomously generate de novo therapeutic target hypotheses with testable mechanisms. XunZi has been trained on 24.4 million publications and 613.6 TB of multisource data spanning 21,008 human genes and 5,850 diseases, and outperforms existing methods in both accuracy and interpretability across diverse disease contexts. In Parkinson's disease (PD), where complex mechanisms and limited targets hamper therapy development, XunZi identifies aberrant activation of CHK2 and IRAK4 kinases across multiple models. Pharmacological or genetic inhibition of Chk2 rescues dopaminergic neuron loss and motor deficits in PD mice. We further demonstrate XunZi's broad versatility in diseases such as non-small-cell lung cancer. XunZi establishes a paradigm-shifting framework to translate fragmented biomedical knowledge and data into actionable therapeutics.",https://pubmed.ncbi.nlm.nih.gov/42552442/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42552042,PubMed,42552042,,10.1016/bs.irn.2026.05.016,Brain energy crisis in Alzheimer's and Parkinson's disease: Nanotechnology as a therapeutic strategy.,"Milmile, Mohini; Singh, Shweta; Pandey, Ajay; Pawar, Gajanan; Petkar, Pradnya; Chander, Yogesh; Mishra, Ranjan; Chawla, Ruchi",International review of neurobiology,2026,"Alzheimer's disease and Parkinson's disease are increasingly recognized as disorders marked not only by protein aggregation but by a sustained failure of brain energy metabolism. Years before overt cognitive or motor symptoms emerge, neurons begin to experience impaired glucose utilization, mitochondrial dysfunction, and declining ATP production. Because the brain is highly energy-dependent, even subtle metabolic disturbances can disrupt synaptic function, impair neuronal signaling, and trigger oxidative stress. As mitochondrial efficiency declines, reactive oxygen species accumulate, inflammatory pathways become chronically activated, and damaged cellular components are insufficiently cleared, creating a vicious cycle that accelerates neurodegeneration. Conventional metabolic therapies, including antioxidants and mitochondrial cofactors, have produced limited clinical success, largely due to poor penetration across the blood-brain barrier and lack of specificity for vulnerable neuronal populations and intracellular targets such as mitochondria. Nanotechnology introduces a more precise therapeutic strategy by enabling targeted delivery of metabolic modulators directly to the brain. Engineered nanocarriers can be designed to cross biological barriers, enhance drug stability, and release therapeutic agents in a controlled or stimuli-responsive manner within diseased regions. Advanced systems including polymeric nanoparticles, lipid-based carriers, intranasal nano formulations, biomimetic vesicles, and catalytic nanozymes offer the ability to simultaneously modulate oxidative stress, restore mitochondrial function, and regulate neuroinflammation. By integrating delivery precision with metabolic intervention, neuro-nanomedicine shifts the therapeutic focus from symptomatic management toward addressing the underlying bioenergetic crisis. Although challenges remain in safety validation, scalability, and clinical translation, targeted nanotherapeutic strategies hold significant promise for transforming the treatment landscape of these debilitating neurodegenerative disorders.",https://pubmed.ncbi.nlm.nih.gov/42552042/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42551778,PubMed,42551778,,10.1016/j.amjmed.2026.06.034,Association between PCSK9 targeted therapy and the risk of stroke and dementia: A Meta-Analysis of Randomized Controlled Trials.,"Jaiswal, Vikash; Deb, Novonil; Latif, Fakhar; Shrestha, Abhigan Babu; Garimella, Vamsi; Shama, Nishat; Jitta, Sahas Reddy; Naz, Sidra; Kumar, Tushar; Khan, Shazia; Perone, Francesco; Mattumpuram, Jishanth; Ang, Song Peng",The American journal of medicine,2026,"BACKGROUND: Proprotein convertase subtilisin/kexin type 9 (PCSK9) targeted therapies have been shown to reduce low-density lipoprotein cholesterol (LDL-C) levels and circulating PCSK9. However, its effect on cerebrovascular outcomes, especially stroke and dementia, has not been well established to date.
METHODS: We conducted a systematic literature search of electronic databases for relevant randomized controlled trials (RCTs) from inception through January 2025. Odds ratios (OR) and 95% confidence intervals (CI) were pooled using a random-effect model, and a p-value of <0.05 was considered statistically significant.
RESULTS: A total of 22 RCTs with 64,116 patients were included in the study. Pooled analysis showed that PCSK9-targeted therapy significantly reduced the risk of all-cause stroke (OR, 0.78 (95% CI: 0.68-0.90), P < 0.001) and ischemic stroke (OR, 0.77 (95% CI: 0.63-0.94), P=0.01). However, no significant association was observed for the risk of hemorrhagic stroke (OR, 1.16 (95%CI: 0.70-1.93), P=0.56), transient ischemic attack (OR, 0.98 (95%CI: 0.48-2.06), P= 0.95), dementia (OR, 0.77 (95%CI: 0.14-4.28), P=0.76), dementia of Alzheimer's type (OR, 0.81 (95%CI: 0.14-4.70), P=0.82), and Parkinson's disease (OR, 0.82 (95%CI: 0.11-6.37), P=0.85).
CONCLUSION: PCSK9 targeted therapies appear to reduce the risk of stroke; however, no significant association was observed for the risk of dementia and Parkinson's disease.",https://pubmed.ncbi.nlm.nih.gov/42551778/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
PMID_42551755,PubMed,42551755,,10.1016/j.mayocp.2026.07.024,Treatment of Parkinson Disease.,"Jackson, Lauren M; Klassen, Bryan T; Ruether, Emily; Savica, Rodolfo",Mayo Clinic proceedings,2026,"Parkinson disease (PD) is a progressive neurodegenerative disorder affecting 2% of the population over 70 with onset typically between 65 and 70 years. A group of proteins (principally alpha-synuclein in insoluble plaques) deposited in the central nervous system throughout the lifespan of patients are responsible for PD and related diseases. The clinical presentation of PD varies among individuals with differences in symptoms, severity, progression, and prognosis. In addition, PD bears a social stigma that presents a number of difficulities in disease management. Recent changes in PD management have created further challenges for general internal medicine providers. The goal of this review is to update general practitioners on current state-of-the-art diagnostic tools and practice strategies for PD.",https://pubmed.ncbi.nlm.nih.gov/42551755/,,,parkinsons,(Parkinson Disease[MeSH] OR Parkinson[tiab] OR dopamine[tiab] OR alpha-synuclein[tiab]) AND (treatment[tiab] OR intervention[tiab] OR therapy[tiab]),2026-08-05T17:22:15+00:00,,,,,
