id,outbreak_data_id,covidence_id,pathogen,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_date_year,outbreak_duration_months,asymptomatic_transmission,outbreak_country,outbreak_location,cases_confirmed,cases_mode_detection,cases_suspected,cases_asymptomatic,cases_severe,deaths,pre_outbreak,ongoing
9da04c9c3464ba932aa82d2e4a0fb5ea,00e2733a168ab3ea8f8c9fbb50e9ab1b,60,Lassa mammarenavirus,1.0,Jan,2018,29.0,Apr,2018.0,,False,Nigeria,,420.0,Unspecified,,,,106.0,Endemic equilibrium,False
b1ed69167fd7c17d124b8f1bf65329e1,8ced256dd0fec2c2fa8c3f1ae5917db7,61,Lassa mammarenavirus,,Jan,1970,,,,,False,Nigeria,Jos Plateau,13.0,Unspecified,26.0,,,10.0,Unspecified,True
39819a2a94765a2302e96fca8c7de0bd,6493a15fce9bb839f999a47e2bc40e48,152,Lassa mammarenavirus,,Dec,2017,,May,2018.0,,False,Nigeria,,431.0,Molecular (PCR etc),,,,,Endemic equilibrium,False
b893c462fb12cdd6ba814be4fd7ff372,523d78ff0e284e2a6f436ffc479597a9,558,Lassa mammarenavirus,27.0,Apr,2010,31.0,Jan,2012.0,,False,Sierra Leone,Kenema Government Hospital,,Unspecified,1002.0,,,,Unspecified,False
ab5a1f40f53f9afd427cf89da33bfe99,4aba7442d20d4c4e2d86d02fe2e25020,560,Lassa mammarenavirus,25.0,Dec,1969,,,,2.0,False,Nigeria,Jos,23.0,Unspecified,,,,,Endemic equilibrium,False
ab5a1f40f53f9afd427cf89da33bfe99,141e6dd0015dc8e951e9700c2ecb30d1,560,Lassa mammarenavirus,,Mar,1972,,Apr,1972.0,1.0,False,Liberia,Zorzor,11.0,Unspecified,,,,,Endemic equilibrium,False
ab5a1f40f53f9afd427cf89da33bfe99,f0bf58ffbebdae14853ed59de3f67441,560,Lassa mammarenavirus,27.0,Apr,2010,31.0,Jan,2012.0,,False,Sierra Leone,Kenema Government Hospital,295.0,Molecular (PCR etc),1002.0,,,,Endemic equilibrium,False
660f431c3cc58327c010c0cae50c1a86,8b8e78d16bacfe020ac68c299facc3f0,832,Lassa mammarenavirus,23.0,Sep,1972,15.0,Oct,1972.0,,False,Sierra Leone,Panguma; Tongo,12.0,Molecular (PCR etc),20.0,,,,Endemic equilibrium,False
f3e0da17630314ea0ff0276cac6aee00,5c7a0e19d5b63ecc2636b9535e5c787c,840,Lassa mammarenavirus,,Jul,1980,,Apr,1982.0,,False,Liberia,Curran Lutheran Hospital; Zorzor,14.0,Molecular (PCR etc),,,,,Unspecified,False
bf0fa77e86f391b4b01b755a19c3d17a,3b551a8affff125a32b5dde91d2fdad7,842,Lassa mammarenavirus,12.0,Jan,1969,3.0,May,1969.0,,False,Nigeria,Lassa; Jos,,Unspecified,3.0,,,2.0,Unspecified,False
