Title,Authors,Abstract,Published Year,Journal,DOI,Covidence #,perg_abstract_result,perg_fulltext_result
"Epidemiologic and Clinical Features of Lassa Fever Outbreak in Nigeria, January 1–May 6, 2018",Elsie Ilori; Yuki Furuse; Oladipupo Ipadeola; Chioma Dan-Nwafor; Anwar Abubakar; Oboma E. Womi-Eteng; Ephraim Ogbaini-Emovon; Sylvanus Okogbenin; Uche Unigwe; Emeka Onwe Ogah; Olufemi Ayodeji; Chukwuyem Abejegah; Ahmed A. Liasu; Emmanuel Musa; Solomon Fisseha Woldetsadik; Clement L.P. Lasuba; Wondimagegnehu Alemu; Chikwe Ihekweazu; Nigeria Lassa Fever National Response Team,"Lassa fever (LF) is endemic to Nigeria, where the disease causes substantial rates of illness and death. In this article, we report an analysis of the epidemiologic and clinical aspects of the LF outbreak that occurred in Nigeria during January 1-May 6, 2018. A total of 1,893 cases were reported; 423 were laboratory-confirmed cases, among which 106 deaths were recorded (case-fatality rate 25.1%). Among all confirmed cases, 37 occurred in healthcare workers. The secondary attack rate among 5,001 contacts was 0.56%. Most (80.6%) confirmed cases were reported from 3 states (Edo, Ondo, and Ebonyi). Fatal outcomes were significantly associated with being elderly; no administration of ribavirin; and the presence of a cough, hemorrhaging, and unconsciousness. The findings in this study should lead to further LF research and provide guidance to those preparing to respond to future outbreaks.",2019.0,Emerging infectious diseases,10.3201/eid2506.181035,#2589,INCLUDE,INCLUDE
Clinical Sequencing Uncovers Origins and Evolution of Lassa Virus,Kristian G. Andersen; B. Jesse Shapiro; Christian B. Matranga; Rachel Sealfon; Aaron E. Lin; Lina Moses; Onikepe Folarin; Augustine Goba; Ikponmwonsa Odia; Philomena E. Ehiane; Mambu Momoh; Eleina England; S Winnicki; Luis M. Branco; Stephen Gire; Eric Phelan; Ridhi Tariyal; Ryan Tewhey; Omowunmi Omoniwa; Mohammed Fullah; Richard Fonnie; Mbalu Fonnie; Lansana Kanneh; Simbirie Jalloh; Michael Gbakie; Sidiki Saffa; Kandeh Karbo; Adrianne D. Gladden; James Qu; Matthew Stremlau; Mahan Nekoui; Hilary K. Finucane; Shervin Tabrizi; Joseph J. Vitti; Bruce Birren; Michael G. FitzGerald; Caryn McCowan; Andrea Ireland; Aaron M. Berlin; James Bochicchio; Bárbara Tazón‐Vega; Niall J. Lennon; Elizabeth M. Ryan; Zach B. Bjornson; Danny A. Milner; Amanda K. Lukens; Nisha Broodie; Megan M. Rowland; Megan L. Heinrich; Marjan Akdag; John S. Schieffelin; Danielle Levy; Henry Akpan; Daniel G. Bausch; Kathleen Rubins; Joseph B. McCormick; Eric S. Lander; Stephan Günther; Lisa E. Hensley; Sylvanus Okogbenin; S. F. Schaffner; Peter O. Okokhere; Sheik Humarr Khan; Donald S. Grant; George O. Akpede; Danny Asogun; Andreas Gnirke; Joshua Z. Levin; Christian Happi; Robert F. Garry; Pardis C. Sabeti,"The 2013-2015 West African epidemic of Ebola virus disease (EVD) reminds us of how little is known about biosafety level 4 viruses. Like Ebola virus, Lassa virus (LASV) can cause hemorrhagic fever with high case fatality rates. We generated a genomic catalog of almost 200 LASV sequences from clinical and rodent reservoir samples. We show that whereas the 2013-2015 EVD epidemic is fueled by human-to-human transmissions, LASV infections mainly result from reservoir-to-human infections. We elucidated the spread of LASV across West Africa and show that this migration was accompanied by changes in LASV genome abundance, fatality rates, codon adaptation, and translational efficiency. By investigating intrahost evolution, we found that mutations accumulate in epitopes of viral surface proteins, suggesting selection for immune escape. This catalog will serve as a foundation for the development of vaccines and diagnostics. VIDEO ABSTRACT.",2015.0,Cell,10.1016/j.cell.2015.07.020,#1426,INCLUDE,INCLUDE
"Lassa fever: epidemiology, clinical features, and social consequences",J K. Richmond; Deborah J Baglole,"Lassa fever is endemic in west Africa, where it probably kills several thousand people each year.With access to the region improving, the opportunity, and the need, to improve our understanding of this disease are increasing Lassa fever is a viral haemorrhagic fever transmitted by rats.It has been known since the 1950s, but the virus was not identified until 1969, when two missionary nurses died from it in the town of Lassa in Nigeria.Found predominantly in west Africa, 1 it has the potential to cause tens of thousands of deaths.Even after recovery, the virus remains in body fluids, including semen. 1 The years of civil unrest in Sierra Leone (1991-2002) halted the investigation (through international collaboration) of Lassa fever at a specialist unit in Kenema.Increasing international travel and the possibility of use of the Lassa virus as a biological weapon escalate the potential for harm beyond the local level.Access to the country is improving, so renewed efforts to understand it are feasible.",2003.0,BMJ,10.1136/bmj.327.7426.1271,#276,EXCLUDE,EXCLUDE
Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa fever outbreak,Liana E. Kafetzopoulou; Steven T. Pullan; Philippe Lemey; Marc A. Suchard; Deborah Ehichioya; Meike Pahlmann; Anke Thielebein; Julia Hinzmann; Lisa Oestereich; David M. Wozniak; Kyriakos Efthymiadis; D. Schachten; F. O. Koenig; J. Matjeschk; Stephan Lorenzen; Sarah Lumley; Yemisi Ighodalo; DonatusI Adomeh; Thomas Olokor; Emmanuel Omomoh; Racheal Omiunu; Jacqueline Agbukor; Benevolence Ebo; John Aiyepada; Paulson Ebhodaghe; Osiemi Blessing; Solomon Ehikhametalor; Patience Akhilomen; Michael Airende; R. Esumeh; Ekene Muoebonam; Rosemary Giwa; Aniefiok Akpan Ekanem; Ganiyu Igenegbale; George Odigie; Grace Okonofua; Racheal Enigbe; Jennifer Oyakhilome; Edna Omonegho Yerumoh; Ikponmwosa Odia; Chris Aire; Martha Okonofua; Rebecca O. Atafo; Ekaete Tobin; Danny Asogun; Nosa Akpede; Peter O. Okokhere; Mojeed Olaitan Rafiu; Kelly Iraoyah; Christopher Ojemiega Iruolagbe; Peter Akhideno; Cyril Erameh; George O. Akpede; Efosa Isibor; Dhamari Naidoo; Roger Hewson; Julian A. Hiscox; Richard Vipond; Miles W. Carroll; Chikwe Ihekweazu; Pierre Formenty; Sylvanus Okogbenin; Ephraim Ogbaini-Emovon; Stephan Günther; Sophie Duraffour,"Mobile detection of Lassa virus Lassa fever is a hemorrhagic viral disease endemic to West Africa. Usually, each year sees only a smattering of cases reported, but hospitalized patients risk a 15% chance of death. Responding to fears that a 10-fold surge in cases in Nigeria in 2018 signaled an incipient outbreak, Kafetzopoulou et al. performed metagenomic nanopore sequencing directly from samples from 120 patients (see the Perspective by Bhadelia). Results showed no strong evidence of a new strain emerging nor of person-to-person transmission; rather, rodent contamination was the main source. To prevent future escalation of this disease, we need to understand what triggers the irruption of rodents into human dwellings. Science , this issue p. 74 ; see also p. 30",2019.0,Science,10.1126/science.aau9343,#678,INCLUDE,INCLUDE
Structure of the Lassa virus glycan shield provides a model for immunological resistance,Yasunori Watanabe; Jayna Raghwani; Joel D. Allen; Gemma E. Seabright; Sai Li; Felipe Moser; Juha T. Huiskonen; Thomas Strecker; Thomas A. Bowden; Max Crispin,"Significance Lassa virus is a highly pathogenic arenavirus that causes severe hemorrhagic fever in humans. Currently, there are no efficacious vaccines or treatments available to combat this pathogen. An important component of any vaccine candidate against Lassa virus will likely include the highly glycosylated glycoprotein complex presented on the virion surface. Here, we determine the composition of the Lassa virus glycome, revealing that the virus presents an abundance of glycans that are not biosynthetically processed to full maturity. Such underprocessed glycans form spatially distinct clusters, which shield the proteinous surface of the Lassa virus glycoprotein spike from the humoral immune response. These data are integral for the development of humoral-based vaccines that mimic the mature Lassa virion.",2018.0,Proceedings of the National Academy of Sciences,10.1073/pnas.1803990115,#19,EXCLUDE,EXCLUDE
"Efficacy of Favipiravir Alone and in Combination With Ribavirin in a Lethal, Immunocompetent Mouse Model of Lassa Fever",Lisa Oestereich; Toni Rieger; Anja Lüdtke; Paula Ruibal; Stephanie Wurr; Elisa Pallasch; Sabrina Bockholt; Susanne Krasemann; César Muñoz‐Fontela; Stephan Günther,"We studied the therapeutic potential of favipiravir (T-705) for Lassa fever, both alone and in combination with ribavirin. Favipiravir suppressed Lassa virus replication in cell culture by 5 log10 units. In a novel lethal mouse model, it lowered the viremia level and the virus load in organs and normalized levels of cell-damage markers. Treatment with 300 mg/kg per day, commenced 4 days after infection, when the viremia level had reached 4 log10 virus particles/mL, rescued 100% of Lassa virus-infected mice. We found a synergistic interaction between favipiravir and ribavirin in vitro and an increased survival rate and extended survival time when combining suboptimal doses in vivo.",2015.0,The Journal of Infectious Diseases,10.1093/infdis/jiv522,#471,EXCLUDE,EXCLUDE
Large-scale Lassa fever outbreaks in Nigeria: quantifying the association between disease reproduction number and local rainfall,Shi Zhao; Salihu S. Musa; Hao Fu; Daihai He; Jing Qin,"Abstract Lassa fever (LF) is increasingly recognised as an important rodent-borne viral haemorrhagic fever presenting a severe public health threat to sub-Saharan West Africa. In 2017–18, LF caused an unprecedented epidemic in Nigeria and the situation was worsening in 2018–19. This work aims to study the epidemiological features of epidemics in different Nigerian regions and quantify the association between reproduction number ( R ) and state rainfall. We quantify the infectivity of LF by the reproduction numbers estimated from four different growth models: the Richards, three-parameter logistic, Gompertz and Weibull growth models. LF surveillance data are used to fit the growth models and estimate the R s and epidemic turning points ( τ ) in different regions at different time periods. Cochran's Q test is further applied to test the spatial heterogeneity of the LF epidemics. A linear random-effect regression model is adopted to quantify the association between R and state rainfall with various lag terms. Our estimated R s for 2017–18 (1.33 with 95% CI 1.29–1.37) was significantly higher than those for 2016–17 (1.23 with 95% CI: (1.22, 1.24)) and 2018–19 (ranged from 1.08 to 1.36). We report spatial heterogeneity in the R s for epidemics in different Nigerian regions. We find that a one-unit (mm) increase in average monthly rainfall over the past 7 months could cause a 0.62% (95% CI 0.20%–1.05%)) rise in R . There is significant spatial heterogeneity in the LF epidemics in different Nigerian regions. We report clear evidence of rainfall impacts on LF epidemics in Nigeria and quantify the impact.",2020.0,Epidemiology and Infection,10.1017/s0950268819002267,#2627,INCLUDE,INCLUDE
Using Modelling to Disentangle the Relative Contributions of Zoonotic and Anthroponotic Transmission: The Case of Lassa Fever,Giovanni Lo Iacono; Andrew A. Cunningham; Élisabeth Fichet-Calvet; Robert F. Garry; Donald S. Grant; Sheik Humarr Khan; Melissa Leach; Lina Moses; John S. Schieffelin; Jeffrey G. Shaffer; Colleen T. Webb; James L. N. Wood,"This work explains the discrepancy between the sizes of reported LF outbreaks and a clinical perception that human-to-human transmission is low. Future assessment of risks of LF and infection control guidelines should take into account the potentially large impact of super-spreaders in human-to-human transmission. Our work highlights several neglected topics in LF research, the occurrence and nature of super-spreading events and aspects of social behavior in transmission and detection.",2015.0,PLoS neglected tropical diseases,10.1371/journal.pntd.0003398,#560,INCLUDE,INCLUDE
Animal Models of Lassa Fever,Rachel A. Sattler; Slobodan Paessler; Hinh Ly; Cheng Huang,"Lassa virus (LASV), the causative agent of Lassa fever, is estimated to be responsible for up to 300,000 new infections and 5000 deaths each year across Western Africa. The most recent 2018 and 2019 Nigerian outbreaks featured alarmingly high fatality rates of up to 25.4%. In addition to the severity and high fatality of the disease, a significant population of survivors suffer from long-term sequelae, such as sensorineural hearing loss, resulting in a huge socioeconomic burden in endemic regions. There are no Food and Drug Administration (FDA)-approved vaccines, and therapeutics remain extremely limited for Lassa fever. Development of countermeasures depends on relevant animal models that can develop a disease strongly mimicking the pathogenic features of Lassa fever in humans. The objective of this review is to evaluate the currently available animal models for LASV infection with an emphasis on their pathogenic and histologic characteristics as well as recent advances in the development of a suitable rodent model. This information may facilitate the development of an improved animal model for understanding disease pathogenesis of Lassa fever and for vaccine or antiviral testing.",2020.0,Pathogens,10.3390/pathogens9030197,#3475,EXCLUDE,EXCLUDE
Lassa Serology in Natural Populations of Rodents and Horizontal Transmission,Élisabeth Fichet-Calvet; Beate Becker‐Ziaja; Lamine Koivogui; Stephan Günther,"Lassa virus causes hemorrhagic fever in West Africa. Previously, we demonstrated by PCR screening that only the multimammate mouse, Mastomys natalensis, hosts Lassa virus in Guinea. In the present study, we used the same specimen collection from 17 villages in Coastal, Upper, and Forest Guinea to investigate the Lassa virus serology in the rodent population. The aim was to determine the dynamics of antibody development in M. natalensis and to detect potential spillover infections in other rodent species. Immunoglobulin G (IgG) antibody screening was performed using the indirect immunofluorescence assay with the Guinean Lassa virus strain Bantou 289 as antigen. The overall seroprevalence was 8% (129/1551) with the following rodents testing positive: 109 M. natalensis, seven Mastomys erythroleucus, four Lemniscomys striatus, four Praomys daltoni, three Mus minutoides, and two Praomys rostratus. Nearly all of them (122/129) originated from Bantou, Tanganya, and Gbetaya, where Lassa virus is highly endemic in M. natalensis. The antibody seroprevalence in M. natalensis from this high-endemic area (27%; 108/396) depended on the village, habitat, host age, and host abundance. A main positive factor was age; the maximum seroprevalence reached 50% in older animals. Our data fit with a model implicating that most M. natalensis rodents become horizontally infected, clear the virus within a period significantly shorter than their life span, and develop antibodies. In addition, the detection of antibodies in other species trapped in the habitats of M. natalensis suggests spillover infections.",2014.0,Vector-Borne and Zoonotic Diseases,10.1089/vbz.2013.1484,#967,EXCLUDE,EXCLUDE
